rank,vehicle,brand,model,urls_count,direct_pdf_count,active,note,catalog_url,price_url,raw_urls
39,현대 베뉴,현대,베뉴,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/venue-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/venue-price.pdf
40,현대 아이오닉 6,현대,아이오닉 6,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/ioniq6-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/ioniq6-price.pdf
41,기아 셀토스,기아,셀토스,1,1,N,중복 모델명/중복 집계로 제외 권장,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_seltos.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_seltos.pdf
42,KGM 무쏘 EV,KGM,무쏘 EV,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.kg-mobility.com/od/promotion/catalog-download
43,현대 캐스퍼 일렉트릭,현대,캐스퍼 일렉트릭,1,1,Y,직접 PDF URL,,https://m.casper.hyundai.com/wcontents/repn-car/catalog/AX05/AX_CASPER_Electric_price.pdf,https://m.casper.hyundai.com/wcontents/repn-car/catalog/AX05/AX_CASPER_Electric_price.pdf
44,벤츠 GLC-Class,벤츠,GLC-Class,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.mercedes-benz.co.kr/passengercars/models/price-list.html
45,BMW X3,BMW,X3,1,0,Y,BMW 코리아 공식 모델/가격 확인 페이지,,https://www.bmw.co.kr/ko/all-models/x-series/x3/bmw-x3.html,https://www.bmw.co.kr/ko/all-models/x-series/x3/bmw-x3.html
46,쉐보레 트랙스 크로스오버,쉐보레,트랙스 크로스오버,1,1,Y,직접 PDF URL,,https://www.chevrolet.co.kr/content/dam/chevrolet/as/kr/ko/index/finance/type-price/2025/15-pdfs/2026%EB%85%84-1%EC%9B%94-%EC%A0%84%EC%B0%A8%EC%A2%85-%EA%B0%80%EA%B2%A9%ED%91%9C.pdf,https://www.chevrolet.co.kr/content/dam/chevrolet/as/kr/ko/index/finance/type-price/2025/15-pdfs/2026%EB%85%84-1%EC%9B%94-%EC%A0%84%EC%B0%A8%EC%A2%85-%EA%B0%80%EA%B2%A9%ED%91%9C.pdf
47,기아 니로,기아,니로,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_niro.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_niro.pdf
48,BYD SEALION 7,BYD,SEALION 7,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.bydauto.kr/
49,기아 니로 EV,기아,니로 EV,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_niro-ev.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_niro-ev.pdf
50,현대 캐스퍼,현대,캐스퍼,1,1,Y,직접 PDF URL,,https://m.casper.hyundai.com/wcontents/repn-car/catalog/AX04/AX_The_new_CASPER_price.pdf,https://m.casper.hyundai.com/wcontents/repn-car/catalog/AX04/AX_The_new_CASPER_price.pdf
