rank,rank_change,brand,model,vehicle,units_sold,segment,powertrain,target_tag,image_url,price_url,catalog_url,active,note,image_file,image_source_url,image_review_status,image_source_type
24,NEW,BMW,5 Series,BMW 5 Series,"2,060",세단,,개인/법인/출퇴근,https://bmw.scene7.com/is/image/BMW/g60_ice_driving-dynamics_dsk_fb_en?fmt=webp&qlt=80&wid=1024,https://www.bmw.co.kr/ko/all-models/5-series/sedan/bmw-5-series-sedan-overview.html,,Y,BMW 코리아 공식 모델/가격 확인 페이지,,https://www.bmw.co.kr/ko/all-models/5-series/sedan/bmw-5-series-sedan-overview.html,approved,official_site
25,▼2,기아,K8,기아 K8,"1,981",세단,,개인/법인/출퇴근,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krgl301/k8_s_byg.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_k8.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/k8/features,approved,official_site
26,▼2,기아,모닝,기아 모닝,"1,919",경차/소형,,가성비/단기렌트/대차/도심형,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krja305/morning_s_a2g.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_morning.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/morning/features,approved,official_site
27,▼2,기아,니로,기아 니로,"1,880",SUV,하이브리드,패밀리/장기렌트/레저,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krsg300/niro-hybrid_s_cge.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_niro.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/niro/features,approved,official_site
28,▼2,제네시스,GV80,제네시스 GV80,"1,840",SUV,,패밀리/장기렌트/레저,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000054333/5d59439a4e7e49c7b883ef6315ea5aae.jpg,https://www.genesis.com/kr/ko/support/download-center/genesis-models.html,,Y,공식 홈페이지 다운로드 센터에서 모델 선택 후 가격표/카탈로그 확인,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000161667,approved,official_newsroom
29,▼2,현대,아이오닉 5,현대 아이오닉 5,"1,693",전기차,전기,전기차/법인/출퇴근/친환경,https://www.hyundai.com/contents/repn-car/side-45/ioniq5-27my-45side.png,https://www.hyundai.com/contents/repn-car/catalog/ioniq-5-2027-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/ioniq5-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundai.com/kr/ko/e/vehicles/ioniq5/intro,approved,official_site
30,▼2,KGM,무쏘,KGM 무쏘,"1,333",상용/업무용,,법인/소상공인/물류/업무용,https://www.kg-mobility.com/images/od/musso_2026.png,https://www.kg-mobility.com/attached/contents/display/file/200000200010009/20260104185705597_251IZJ.pdf,,Y,직접 PDF URL,,https://www.kg-mobility.com/pr/model/show-room/200000200010009,approved,official_site
31,▼2,르노,필랑트,르노 필랑트,"1,324",기타,하이브리드,영업 참고,https://cdn.renault.co.kr/upload/asset/filante/main_off.webp,https://cdn.renault.co.kr/upload/asset/price/price_filante_202607.pdf,https://cdn.renault.co.kr/upload/asset/ebrochure/eBrochure_filante_202607.pdf,Y,필랑트 전용 공식 가격표(CDN 직접 PDF),,https://www.renault.co.kr/ko/model/filante_overview.jsp,approved,official_site
32,▼2,현대,아이오닉 9,현대 아이오닉 9,"1,318",전기차,전기,전기차/법인/출퇴근/친환경,https://www.hyundai.com/contents/repn-car/side-45/ioniq9-27my-45side.png,https://www.hyundai.com/contents/repn-car/catalog/ioniq9-2027-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/ioniq9-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundai.com/kr/ko/e/vehicles/ioniq9/intro,approved,official_site
33,▼2,르노,그랑 콜레오스,르노 그랑 콜레오스,"1,313",SUV,하이브리드,패밀리/장기렌트/레저,https://cdn.renault.co.kr/upload/asset/koleos/main_off.webp,https://cdn.renault.co.kr/upload/asset/price/price_koleos_202601.pdf,,Y,그랑 콜레오스 전용 공식 가격표(CDN 직접 PDF),,https://www.renault.co.kr/ko/side/catalog_download.jsp,approved,official_site
34,NEW,테슬라,Model 3,테슬라 Model 3,"1,301",전기차,전기,전기차/법인/출퇴근/친환경,https://digitalassets.tesla.com/tesla-contents/image/upload/f_auto%2Cq_auto/Model-3-Specs-RWD-Desktop-KR.png,https://www.tesla.com/ko_kr/model3/design,,Y,공식 홈페이지 가격/주문 페이지,,https://www.tesla.com/ko_kr/model3,approved,official_site
35,NEW,벤츠,E-Class,벤츠 E-Class,"1,285",세단,,개인/법인/출퇴근,https://media.oneweb.mercedes-benz.com/images/dynamic/asia/KR/214050/806/iris.png?BKGND=9&IMGT=P27&POV=BE030%2CPZM&cp=U7lLKRUtPa6KAFr8s_ubHw&q=COSY-EU-100-1713d0VXqaWFqtyO67PobzIr3eWsrrCsdRRzwQZgk4ZbMw3SGtxmFtsd2HtcUfpF0XGEuTRJ0l3CJOB2Nz2bApRiyI5ux4ZQC30MrkzNBzkm7jA2jhKViSM%25vq4BjyLRgYFYaxPJ8rH1yC%25n8w0AEoiZBkoM4FvIPTg9LxZ6PDaroSeWHtItsd8c%25cUfiAkXGE5YrJbXSqxVh6n8wPbIoTnlR4M6o58FTg97zp6PD4PDSeWgejtsdRs3cUfGU6XGE0GYJ0lB4lOB2AQ1bA4wHEcmqN1IwCJ0MFspnIu2fzfXRXPq0Agjeq89i3mtHBr&uni=m,https://www.mercedes-benz.co.kr/passengercars/models/saloon/e-class/overview.html,,Y,공식 홈페이지 모델/가격 확인 페이지,,https://www.mercedes-benz.co.kr/passengercars/models/saloon/e-class/overview.html,approved,official_site
36,▼4,기아,레이 EV,기아 레이 EV,"1,205",경차/소형,전기,가성비/단기렌트/대차/도심형,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krtm258/ray-ev_s_eu3.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ray-ev.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/catalog/catalog_ray-ev.pdf,Y,레이 EV 전용 공식 가격표,,https://www.kia.com/kr/vehicles/ray-ev/features,approved,official_site
37,▼4,현대,베뉴,현대 베뉴,"1,123",경차/소형,,가성비/단기렌트/대차/도심형,https://www.hyundai.com/contents/repn-car/side-45/venue-27my-45side.png,https://www.hyundai.com/contents/repn-car/catalog/venue-2027-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/venue-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundai.com/kr/ko/e/vehicles/venue/intro,approved,official_site
38,▼4,기아,EV4,기아 EV4,"1,019",전기차,전기,전기차/법인/출퇴근/친환경,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krct294/ev4_s_swp.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ev4.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/ev4/features,approved,official_site
